Source,Target,Type,Id,Label,timeset,Weight,partition
602,76920,Undirected,733,,,1,1
602,59607,Undirected,732,,,1,1
602,56186,Undirected,731,,,1,1
602,8665,Undirected,729,,,1,1
602,808,Undirected,728,,,1,1
111724,602,Undirected,89474,,,1,1
97806,602,Undirected,83281,,,1,1
95536,602,Undirected,81352,,,1,2
86428,602,Undirected,75933,,,1,1
75846,602,Undirected,68525,,,1,1
49953,602,Undirected,50158,,,1,1
47690,602,Undirected,48151,,,1,1
31129,602,Undirected,32465,,,1,1
29938,602,Undirected,31462,,,1,2
607,113301,Undirected,748,,,1,1
607,87487,Undirected,747,,,1,1
607,51262,Undirected,746,,,1,1
100207,607,Undirected,84315,,,1,2
617,90600,Undirected,757,,,1,1
43552,617,Undirected,43861,,,1,1
625,16242,Undirected,762,,,1,1
650,99287,Undirected,771,,,1,1
650,31466,Undirected,770,,,1,1
660,35045,Undirected,776,,,1,1
661,70157,Undirected,777,,,1,2
663,77979,Undirected,778,,,1,1
8630,663,Undirected,9850,,,1,1
672,102228,Undirected,783,,,1,2
677,97801,Undirected,789,,,1,1
677,18697,Undirected,788,,,1,1
678,99629,Undirected,798,,,1,1
678,81367,Undirected,797,,,1,1
678,63700,Undirected,796,,,1,1
678,48628,Undirected,795,,,1,1
678,34631,Undirected,794,,,1,1
678,29939,Undirected,793,,,1,1
678,28356,Undirected,792,,,1,1
678,11386,Undirected,791,,,1,1
678,9427,Undirected,790,,,1,1
34631,678,Undirected,35258,,,1,1
684,30075,Undirected,802,,,1,1
688,34724,Undirected,803,,,1,1
693,26163,Undirected,805,,,1,1
696,90879,Undirected,809,,,1,2
696,73743,Undirected,808,,,1,2
698,42005,Undirected,810,,,1,1
699,31716,Undirected,811,,,1,1
703,52836,Undirected,815,,,1,1
703,46373,Undirected,814,,,1,1
703,39746,Undirected,813,,,1,1
60766,708,Undirected,59355,,,1,1
51261,708,Undirected,51414,,,1,1
722,11117,Undirected,857,,,1,1
729,50703,Undirected,859,,,1,1
733,93974,Undirected,863,,,1,1
770,18423,Undirected,901,,,1,1
99734,770,Undirected,84188,,,1,1
6351,770,Undirected,7204,,,1,1
771,40878,Undirected,902,,,1,1
99594,771,Undirected,84136,,,1,2
788,18444,Undirected,912,,,1,1
788,1650,Undirected,911,,,1,1
789,99459,Undirected,915,,,1,1
789,83670,Undirected,914,,,1,1
789,55241,Undirected,913,,,1,1
790,36878,Undirected,916,,,1,1
24421,793,Undirected,26765,,,1,1
799,102833,Undirected,925,,,1,1
799,79859,Undirected,924,,,1,1
799,49926,Undirected,923,,,1,1
802,45426,Undirected,928,,,1,1
804,32976,Undirected,930,,,1,1
808,99278,Undirected,938,,,1,1
808,99277,Undirected,937,,,1,1
808,94094,Undirected,936,,,1,1
808,90326,Undirected,935,,,1,1
808,76920,Undirected,933,,,1,1
808,8665,Undirected,931,,,1,1
810,108486,Undirected,939,,,1,1
