Id,Label,timeset,partition
1009,1009,,Padova
1010,1010,,Padova
1016,1016,,Padova
1017,1017,,Vicenza
1021,1021,,Padova
1028,1028,,Padova
1029,1029,,Padova
1030,1030,,Padova
1033,1033,,Vicenza
1034,1034,,Padova
1035,1035,,Padova
1038,1038,,Padova
1039,1039,,Padova
1042,1042,,Vicenza
1043,1043,,Vicenza
1045,1045,,Padova
1050,1050,,Padova
1052,1052,,Padova
1053,1053,,Vicenza
1055,1055,,Padova
1057,1057,,Vicenza
1063,1063,,Padova
1066,1066,,Padova
1068,1068,,Padova
1069,1069,,Vicenza
1075,1075,,Padova
1078,1078,,Vicenza
1081,1081,,Padova
1082,1082,,Vicenza
1086,1086,,Padova
1091,1091,,Padova
1092,1092,,Vicenza
1093,1093,,Vicenza
1099,1099,,Padova
1107,1107,,Vicenza
1108,1108,,Vicenza
1110,1110,,Padova
1111,1111,,Vicenza
1116,1116,,Vicenza
1121,1121,,Vicenza
1123,1123,,Vicenza
1124,1124,,Padova
1126,1126,,Vicenza
1133,1133,,Vicenza
1140,1140,,Vicenza
1143,1143,,Padova
1148,1148,,Padova
1149,1149,,Padova
1151,1151,,Padova
1153,1153,,Padova
1156,1156,,Padova
1160,1160,,Vicenza
1166,1166,,Padova
1170,1170,,Padova
1171,1171,,Padova
1179,1179,,Padova
1181,1181,,Padova
1189,1189,,Padova
1193,1193,,Padova
1195,1195,,Padova
1196,1196,,Vicenza
1200,1200,,Vicenza
1202,1202,,Padova
1206,1206,,Padova
1208,1208,,Vicenza
1211,1211,,Vicenza
1213,1213,,Vicenza
1220,1220,,Vicenza
1222,1222,,Padova
1229,1229,,Vicenza
1231,1231,,Padova
1233,1233,,Vicenza
1234,1234,,Vicenza
1237,1237,,Vicenza
1238,1238,,Vicenza
1242,1242,,Vicenza
1249,1249,,Padova
1257,1257,,Padova
1259,1259,,Padova
1261,1261,,Vicenza
1270,1270,,Padova
1273,1273,,Padova
1275,1275,,Padova
1276,1276,,Vicenza
1277,1277,,Vicenza
1279,1279,,Vicenza
1281,1281,,Vicenza
1282,1282,,Vicenza
1284,1284,,Padova
1287,1287,,Vicenza
1289,1289,,Padova
1293,1293,,Padova
1294,1294,,Padova
1298,1298,,Vicenza
1299,1299,,Padova
1300,1300,,Vicenza
1301,1301,,Padova
1303,1303,,Padova
1304,1304,,Vicenza
1305,1305,,Vicenza
1307,1307,,Padova
1308,1308,,Padova
1309,1309,,Padova
1317,1317,,Padova
1320,1320,,Padova
1325,1325,,Padova
1329,1329,,Padova
1330,1330,,Vicenza
1331,1331,,Padova
1332,1332,,Padova
1336,1336,,Vicenza
1337,1337,,Padova
1341,1341,,Vicenza
1344,1344,,Vicenza
1349,1349,,Padova
1354,1354,,Vicenza
1355,1355,,Padova
1356,1356,,Padova
1357,1357,,Vicenza
1359,1359,,Padova
1360,1360,,Padova
1363,1363,,Padova
1367,1367,,Padova
1372,1372,,Padova
1379,1379,,Padova
1381,1381,,Vicenza
1383,1383,,Padova
1389,1389,,Vicenza
1390,1390,,Padova
1391,1391,,Padova
1392,1392,,Padova
1394,1394,,Vicenza
1396,1396,,Vicenza
